Epoch 00040 | ModelID: 01|Loss: 0.1297| Time: 1.1551s
f1 score on testset:[0.91132979 0.91520823]
Epoch 00041 | ModelID: 00|Loss: 0.1256| Time: 1.1340s
Epoch 00041 | ModelID: 01|Loss: 0.1256| Time: 1.2970s
Epoch 00042 | ModelID: 00|Loss: 0.1259| Time: 1.1413s
Epoch 00042 | ModelID: 01|Loss: 0.1173| Time: 1.2197s
Epoch 00043 | ModelID: 00|Loss: 0.1212| Time: 1.1699s
Epoch 00043 | ModelID: 01|Loss: 0.1111| Time: 1.0895s
Epoch 00044 | ModelID: 00|Loss: 0.1160| Time: 1.1434s
Epoch 00044 | ModelID: 01|Loss: 0.1045| Time: 1.1458s
Epoch 00045 | ModelID: 00|Loss: 0.1051| Time: 1.0907s
Epoch 00045 | ModelID: 01|Loss: 0.0983| Time: 1.1102s
Epoch 00046 | ModelID: 00|Loss: 0.1000| Time: 1.1971s
Epoch 00046 | ModelID: 01|Loss: 0.0985| Time: 1.1721s
Epoch 00047 | ModelID: 00|Loss: 0.0988| Time: 1.1740s
Epoch 00047 | ModelID: 01|Loss: 0.0982| Time: 1.2220s
Epoch 00048 | ModelID: 00|Loss: 0.0924| Time: 1.2132s
Epoch 00048 | ModelID: 01|Loss: 0.1036| Time: 1.2230s
Epoch 00049 | ModelID: 00|Loss: 0.0901| Time: 1.2680s
Epoch 00049 | ModelID: 01|Loss: 0.1007| Time: 1.2105s
Epoch 00050 | ModelID: 00|Loss: 0.0934| Time: 1.2075s
f1 score on testset:[0.92414067 0.91520823]
Epoch 00050 | ModelID: 01|Loss: 0.0977| Time: 1.2451s
f1 score on testset:[0.92414067 0.92953062]
Epoch 00051 | ModelID: 00|Loss: 0.1048| Time: 1.2599s
Epoch 00051 | ModelID: 01|Loss: 0.0935| Time: 1.2079s
Epoch 00052 | ModelID: 00|Loss: 0.1054| Time: 1.1760s
Epoch 00052 | ModelID: 01|Loss: 0.0856| Time: 1.1666s
Epoch 00053 | ModelID: 00|Loss: 0.1007| Time: 1.1825s
Epoch 00053 | ModelID: 01|Loss: 0.0853| Time: 1.2083s
Epoch 00054 | ModelID: 00|Loss: 0.0980| Time: 1.2059s
Epoch 00054 | ModelID: 01|Loss: 0.0855| Time: 1.1742s
Epoch 00055 | ModelID: 00|Loss: 0.0993| Time: 1.1860s
Epoch 00055 | ModelID: 01|Loss: 0.0832| Time: 1.1587s
Epoch 00056 | ModelID: 00|Loss: 0.0926| Time: 1.1736s
Epoch 00056 | ModelID: 01|Loss: 0.0802| Time: 1.0987s
Epoch 00057 | ModelID: 00|Loss: 0.0876| Time: 1.1696s
Epoch 00057 | ModelID: 01|Loss: 0.0742| Time: 1.1831s
Epoch 00058 | ModelID: 00|Loss: 0.0799| Time: 1.2293s
Epoch 00058 | ModelID: 01|Loss: 0.0750| Time: 1.1782s
Epoch 00059 | ModelID: 00|Loss: 0.0767| Time: 1.1565s
Epoch 00059 | ModelID: 01|Loss: 0.0709| Time: 1.1923s
Epoch 00060 | ModelID: 00|Loss: 0.0765| Time: 1.1474s
f1 score on testset:[0.95092115 0.92953062]
Epoch 00060 | ModelID: 01|Loss: 0.0719| Time: 1.1118s
f1 score on testset:[0.95092115 0.94493663]
Epoch 00061 | ModelID: 00|Loss: 0.0727| Time: 1.1787s
Epoch 00061 | ModelID: 01|Loss: 0.0758| Time: 1.1086s
Epoch 00062 | ModelID: 00|Loss: 0.0685| Time: 1.1291s
Epoch 00062 | ModelID: 01|Loss: 0.0720| Time: 1.1061s
Epoch 00063 | ModelID: 00|Loss: 0.0667| Time: 1.0597s
Epoch 00063 | ModelID: 01|Loss: 0.0672| Time: 1.1253s
Epoch 00064 | ModelID: 00|Loss: 0.0631| Time: 1.1573s
Epoch 00064 | ModelID: 01|Loss: 0.0643| Time: 1.0967s
Epoch 00065 | ModelID: 00|Loss: 0.0600| Time: 1.1180s
Epoch 00065 | ModelID: 01|Loss: 0.0728| Time: 1.1504s
Epoch 00066 | ModelID: 00|Loss: 0.0593| Time: 1.1132s
Epoch 00066 | ModelID: 01|Loss: 0.0712| Time: 1.0823s
Epoch 00067 | ModelID: 00|Loss: 0.0603| Time: 1.0597s
Epoch 00067 | ModelID: 01|Loss: 0.0656| Time: 1.1432s
Epoch 00068 | ModelID: 00|Loss: 0.0623| Time: 1.1483s
Epoch 00068 | ModelID: 01|Loss: 0.0618| Time: 1.1429s
Epoch 00069 | ModelID: 00|Loss: 0.0595| Time: 1.1020s
Epoch 00069 | ModelID: 01|Loss: 0.0590| Time: 1.0553s
Epoch 00070 | ModelID: 00|Loss: 0.0601| Time: 1.1515s
f1 score on testset:[0.95340703 0.94493663]
Epoch 00070 | ModelID: 01|Loss: 0.0560| Time: 1.1578s
f1 score on testset:[0.95340703 0.95713425]
Epoch 00071 | ModelID: 00|Loss: 0.0597| Time: 1.1236s
Epoch 00071 | ModelID: 01|Loss: 0.0550| Time: 1.1544s
Epoch 00072 | ModelID: 00|Loss: 0.0596| Time: 1.1873s
Epoch 00072 | ModelID: 01|Loss: 0.0575| Time: 1.2449s
Epoch 00073 | ModelID: 00|Loss: 0.0588| Time: 1.2160s
Epoch 00073 | ModelID: 01|Loss: 0.0559| Time: 1.1680s
Epoch 00074 | ModelID: 00|Loss: 0.0595| Time: 1.1169s
Epoch 00074 | ModelID: 01|Loss: 0.0563| Time: 1.1703s
Epoch 00075 | ModelID: 00|Loss: 0.0567| Time: 1.1136s
Epoch 00075 | ModelID: 01|Loss: 0.0562| Time: 1.1976s
Epoch 00076 | ModelID: 00|Loss: 0.0578| Time: 1.2161s
Epoch 00076 | ModelID: 01|Loss: 0.0573| Time: 1.2099s
Epoch 00077 | ModelID: 00|Loss: 0.0590| Time: 1.1471s
Epoch 00077 | ModelID: 01|Loss: 0.0546| Time: 1.1055s
Epoch 00078 | ModelID: 00|Loss: 0.0562| Time: 1.0601s
Epoch 00078 | ModelID: 01|Loss: 0.0537| Time: 1.1127s
Epoch 00079 | ModelID: 00|Loss: 0.0543| Time: 1.1141s
Epoch 00079 | ModelID: 01|Loss: 0.0519| Time: 1.1231s
Epoch 00080 | ModelID: 00|Loss: 0.0584| Time: 1.1087s
f1 score on testset:[0.95115331 0.95713425]
Epoch 00080 | ModelID: 01|Loss: 0.0541| Time: 1.0839s
f1 score on testset:[0.95115331 0.95624325]
Epoch 00081 | ModelID: 00|Loss: 0.0557| Time: 1.0632s
Epoch 00081 | ModelID: 01|Loss: 0.0514| Time: 1.0584s
