Epoch 00040 | ModelID: 01|Loss: 0.1118| Time: 1.1934s
f1 score on testset:[0.91070258 0.91189316]
Epoch 00041 | ModelID: 00|Loss: 0.1124| Time: 1.1668s
Epoch 00041 | ModelID: 01|Loss: 0.1144| Time: 1.2095s
Epoch 00042 | ModelID: 00|Loss: 0.1078| Time: 1.2785s
Epoch 00042 | ModelID: 01|Loss: 0.1153| Time: 1.1806s
Epoch 00043 | ModelID: 00|Loss: 0.1038| Time: 1.2249s
Epoch 00043 | ModelID: 01|Loss: 0.1073| Time: 1.2116s
Epoch 00044 | ModelID: 00|Loss: 0.1013| Time: 1.2671s
Epoch 00044 | ModelID: 01|Loss: 0.0981| Time: 1.1848s
Epoch 00045 | ModelID: 00|Loss: 0.0930| Time: 1.1043s
Epoch 00045 | ModelID: 01|Loss: 0.0898| Time: 1.1023s
Epoch 00046 | ModelID: 00|Loss: 0.0902| Time: 1.2007s
Epoch 00046 | ModelID: 01|Loss: 0.0887| Time: 1.2229s
Epoch 00047 | ModelID: 00|Loss: 0.0887| Time: 1.2171s
Epoch 00047 | ModelID: 01|Loss: 0.0850| Time: 1.2702s
Epoch 00048 | ModelID: 00|Loss: 0.0838| Time: 1.2556s
Epoch 00048 | ModelID: 01|Loss: 0.0880| Time: 1.2590s
Epoch 00049 | ModelID: 00|Loss: 0.0814| Time: 1.1455s
Epoch 00049 | ModelID: 01|Loss: 0.0855| Time: 1.1103s
Epoch 00050 | ModelID: 00|Loss: 0.0825| Time: 1.0464s
f1 score on testset:[0.93336504 0.91189316]
Epoch 00050 | ModelID: 01|Loss: 0.0831| Time: 1.0790s
f1 score on testset:[0.93336504 0.93374339]
Epoch 00051 | ModelID: 00|Loss: 0.0950| Time: 1.0894s
Epoch 00051 | ModelID: 01|Loss: 0.0838| Time: 1.1803s
Epoch 00052 | ModelID: 00|Loss: 0.0913| Time: 1.1144s
Epoch 00052 | ModelID: 01|Loss: 0.0785| Time: 1.0966s
Epoch 00053 | ModelID: 00|Loss: 0.0849| Time: 1.1310s
Epoch 00053 | ModelID: 01|Loss: 0.0809| Time: 1.1103s
Epoch 00054 | ModelID: 00|Loss: 0.0850| Time: 1.1665s
Epoch 00054 | ModelID: 01|Loss: 0.0790| Time: 1.1411s
Epoch 00055 | ModelID: 00|Loss: 0.0856| Time: 1.1347s
Epoch 00055 | ModelID: 01|Loss: 0.0740| Time: 1.1222s
Epoch 00056 | ModelID: 00|Loss: 0.0791| Time: 1.1069s
Epoch 00056 | ModelID: 01|Loss: 0.0734| Time: 1.1884s
Epoch 00057 | ModelID: 00|Loss: 0.0771| Time: 1.1055s
Epoch 00057 | ModelID: 01|Loss: 0.0698| Time: 1.1086s
Epoch 00058 | ModelID: 00|Loss: 0.0718| Time: 1.1535s
Epoch 00058 | ModelID: 01|Loss: 0.0688| Time: 1.1693s
Epoch 00059 | ModelID: 00|Loss: 0.0684| Time: 1.1657s
Epoch 00059 | ModelID: 01|Loss: 0.0636| Time: 1.1777s
Epoch 00060 | ModelID: 00|Loss: 0.0658| Time: 1.1487s
f1 score on testset:[0.94473732 0.93374339]
Epoch 00060 | ModelID: 01|Loss: 0.0624| Time: 1.0942s
f1 score on testset:[0.94473732 0.95044091]
Epoch 00061 | ModelID: 00|Loss: 0.0657| Time: 1.1139s
Epoch 00061 | ModelID: 01|Loss: 0.0601| Time: 1.0911s
Epoch 00062 | ModelID: 00|Loss: 0.0635| Time: 1.1350s
Epoch 00062 | ModelID: 01|Loss: 0.0585| Time: 1.2254s
Epoch 00063 | ModelID: 00|Loss: 0.0634| Time: 1.2484s
Epoch 00063 | ModelID: 01|Loss: 0.0554| Time: 1.1365s
Epoch 00064 | ModelID: 00|Loss: 0.0584| Time: 1.2050s
Epoch 00064 | ModelID: 01|Loss: 0.0534| Time: 1.2631s
Epoch 00065 | ModelID: 00|Loss: 0.0541| Time: 1.2610s
Epoch 00065 | ModelID: 01|Loss: 0.0579| Time: 1.2014s
Epoch 00066 | ModelID: 00|Loss: 0.0530| Time: 1.1656s
Epoch 00066 | ModelID: 01|Loss: 0.0574| Time: 1.1091s
Epoch 00067 | ModelID: 00|Loss: 0.0542| Time: 1.1117s
Epoch 00067 | ModelID: 01|Loss: 0.0549| Time: 1.1834s
Epoch 00068 | ModelID: 00|Loss: 0.0536| Time: 1.1381s
Epoch 00068 | ModelID: 01|Loss: 0.0512| Time: 1.1536s
Epoch 00069 | ModelID: 00|Loss: 0.0517| Time: 1.2448s
Epoch 00069 | ModelID: 01|Loss: 0.0507| Time: 1.1934s
Epoch 00070 | ModelID: 00|Loss: 0.0519| Time: 1.1633s
f1 score on testset:[0.9497271  0.95044091]
